number moves made,solving time,number seen states,max_queue_size
21,0.6041598320007324,694,142
21,0.5989317893981934,694,143
21,0.6025230884552002,701,145
21,0.5876030921936035,697,146
21,0.6006858348846436,697,143
21,0.5850930213928223,694,142
21,0.5952451229095459,694,142
21,0.589503288269043,705,145
21,0.61309814453125,701,142
21,0.587130069732666,695,145
21,0.5852401256561279,695,142
21,0.584867000579834,694,142
21,0.586338996887207,697,150
21,0.5990769863128662,699,146
21,0.602924108505249,694,143
21,0.5907020568847656,694,143
21,0.6164369583129883,712,142
21,0.6205909252166748,698,142
21,0.5967130661010742,694,148
21,0.5945289134979248,694,142
21,0.6086709499359131,694,142
21,0.5982279777526855,696,149
21,0.5986030101776123,695,144
21,0.5923960208892822,698,142
21,0.6061110496520996,701,142
21,0.5954277515411377,694,145
21,0.597862720489502,699,146
21,0.6009910106658936,694,145
21,0.5924038887023926,699,142
21,0.5991642475128174,697,147
21,0.6242001056671143,695,152
21,0.5958189964294434,694,142
21,0.6002471446990967,695,143
21,0.6441903114318848,701,142
21,0.6084799766540527,694,142
21,0.6100542545318604,702,142
21,0.613347053527832,705,142
21,0.6099371910095215,706,150
21,0.6114428043365479,694,142
21,0.6138820648193359,698,143
21,0.608375072479248,694,142
21,0.6087770462036133,696,144
21,0.60555100440979,694,142
21,0.6513590812683105,695,142
21,0.640866756439209,702,142
21,0.6243460178375244,694,146
21,0.6161518096923828,696,142
21,0.5963592529296875,694,142
21,0.5934269428253174,700,142
21,0.5961899757385254,694,142
21,0.5997099876403809,700,144
21,0.5931940078735352,695,149
21,0.5929269790649414,696,142
21,0.5912361145019531,694,150
21,0.5909843444824219,695,143
21,0.6013898849487305,700,143
21,0.592238187789917,694,142
21,0.5940160751342773,694,145
21,0.5995588302612305,707,147
21,0.5898139476776123,694,142
21,0.5946288108825684,701,142
21,0.593447208404541,695,143
21,0.5979459285736084,694,148
21,0.590289831161499,697,147
21,0.5896892547607422,694,145
21,0.5911581516265869,697,143
21,0.5950021743774414,703,143
21,0.5894410610198975,695,142
21,0.5925960540771484,700,142
21,0.5900249481201172,696,142
21,0.5956671237945557,695,143
21,0.6032729148864746,694,142
21,0.5923099517822266,697,142
21,0.5924420356750488,701,142
21,0.5904052257537842,698,142
21,0.5893499851226807,694,143
21,0.5890181064605713,694,143
21,0.5937747955322266,705,142
21,0.5956108570098877,703,144
21,0.6032838821411133,707,144
21,0.5947079658508301,698,144
21,0.5976591110229492,698,142
21,0.5901319980621338,694,144
21,0.5911087989807129,698,143
21,0.5904290676116943,694,142
21,0.5910801887512207,696,142
21,0.5913841724395752,698,142
21,0.5996830463409424,695,144
21,0.5901658535003662,694,142
21,0.5911178588867188,694,142
21,0.6001157760620117,707,143
21,0.6012060642242432,706,142
21,0.5907101631164551,694,147
21,0.594519853591919,702,147
21,0.5923881530761719,701,142
21,0.5991640090942383,694,142
21,0.5906941890716553,694,142
21,0.5904998779296875,697,142
21,0.5925791263580322,699,146
21,0.5937290191650391,695,150
