number moves made,solving time,total seen states,max queue size,unique seen states
649,0.17030072212219238,649,NaN,NaN
5347,1.3831872940063477,5347,NaN,NaN
207,0.05391216278076172,207,NaN,NaN
5397,1.3561265468597412,5397,NaN,NaN
919,0.2259509563446045,919,NaN,NaN
419,0.10654091835021973,419,NaN,NaN
199,0.046647071838378906,199,NaN,NaN
5333,1.4053385257720947,5333,NaN,NaN
1259,0.3218209743499756,1259,NaN,NaN
5525,1.3854918479919434,5525,NaN,NaN
3856,1.0065302848815918,3856,NaN,NaN
3217,0.835139274597168,3217,NaN,NaN
6399,1.5958020687103271,6399,NaN,NaN
4592,1.1340115070343018,4592,NaN,NaN
558,0.1385478973388672,558,NaN,NaN
984,0.2337484359741211,984,NaN,NaN
1953,0.49907827377319336,1953,NaN,NaN
1519,0.391843318939209,1519,NaN,NaN
1485,0.38229918479919434,1485,NaN,NaN
3641,0.9101507663726807,3641,NaN,NaN
844,0.2075812816619873,844,NaN,NaN
3126,0.7813913822174072,3126,NaN,NaN
1060,0.2765026092529297,1060,NaN,NaN
5230,1.3474371433258057,5230,NaN,NaN
4726,1.1780953407287598,4726,NaN,NaN
2991,0.7680337429046631,2991,NaN,NaN
1101,0.2680032253265381,1101,NaN,NaN
1511,0.39694809913635254,1511,NaN,NaN
2689,0.6672892570495605,2689,NaN,NaN
1804,0.4592719078063965,1804,NaN,NaN
3638,0.9401280879974365,3638,NaN,NaN
1653,0.4180569648742676,1653,NaN,NaN
974,0.262650728225708,974,NaN,NaN
3488,0.8925251960754395,3488,NaN,NaN
6123,1.5349853038787842,6123,NaN,NaN
746,0.18338632583618164,746,NaN,NaN
988,0.2552609443664551,988,NaN,NaN
2052,0.5224604606628418,2052,NaN,NaN
3718,0.9627423286437988,3718,NaN,NaN
1857,0.4538896083831787,1857,NaN,NaN
1020,0.26492834091186523,1020,NaN,NaN
756,0.19872784614562988,756,NaN,NaN
2614,0.6583383083343506,2614,NaN,NaN
751,0.19424915313720703,751,NaN,NaN
2054,0.5073394775390625,2054,NaN,NaN
2101,0.5214362144470215,2101,NaN,NaN
1492,0.38494324684143066,1492,NaN,NaN
2625,0.6627378463745117,2625,NaN,NaN
2988,0.7525007724761963,2988,NaN,NaN
2728,0.7158808708190918,2728,NaN,NaN
1623,0.39542412757873535,1623,NaN,NaN
2754,0.7057461738586426,2754,NaN,NaN
1356,0.33831334114074707,1356,NaN,NaN
1395,0.3549983501434326,1395,NaN,NaN
1716,0.42035984992980957,1716,NaN,NaN
8952,2.252580404281616,8952,NaN,NaN
2961,0.7730329036712646,2961,NaN,NaN
