number moves made,solving time,total seen states,max queue size,unique seen states
27,86.38899087905884,62235,15179,62235
27,100.3900830745697,62235,15179,62235
27,102.79530811309814,62235,15179,62235
27,106.17346715927124,62235,15179,62235
27,113.17362999916077,62235,15179,62235
27,101.73266696929932,62235,15179,62235
27,100.04279613494873,62235,15179,62235
27,108.66832494735718,62235,15179,62235
27,101.97557783126831,62235,15179,62235
27,106.94504117965698,62235,15179,62235
27,104.70686602592468,62235,15179,62235
27,101.86796307563782,62235,15179,62235
27,102.62692785263062,62235,15179,62235
27,102.35489702224731,62235,15179,62235
27,103.97227692604065,62235,15179,62235
27,102.6021339893341,62235,15179,62235
27,101.94531512260437,62235,15179,62235
27,104.33498883247375,62235,15179,62235
27,93.65341639518738,62235,15179,62235
27,92.61103320121765,62235,15179,62235
27,92.49764704704285,62235,15179,62235
27,92.3082070350647,62235,15179,62235
27,92.85093188285828,62235,15179,62235
27,94.82183480262756,62235,15179,62235
27,96.18730902671814,62235,15179,62235
27,95.15235710144043,62235,15179,62235
27,93.74171900749207,62235,15179,62235
27,93.3783950805664,62235,15179,62235
27,94.84467506408691,62235,15179,62235
27,95.36644196510315,62235,15179,62235
27,93.60797166824341,62235,15180,62235
27,93.37654280662537,62235,15179,62235
27,92.6210868358612,62235,15179,62235
27,93.35380697250366,62235,15179,62235
27,92.9235360622406,62235,15179,62235
27,92.8039858341217,62235,15179,62235
27,83.29928207397461,62235,15179,62235
