number moves made,solving time,total seen states,max queue size,unique seen states
15,0.2870819568634033,641,190,641
15,0.28148484230041504,641,189,641
15,0.28212904930114746,641,189,641
15,0.27985262870788574,641,191,641
15,0.30299901962280273,641,191,641
15,0.2917759418487549,641,191,641
15,0.29256296157836914,641,190,641
15,0.28760194778442383,641,192,641
15,0.2901623249053955,641,189,641
15,0.28870391845703125,641,190,641
15,0.29642701148986816,641,194,641
15,0.2936558723449707,641,194,641
15,0.31441187858581543,641,191,641
15,0.2822427749633789,641,193,641
15,0.28876614570617676,641,192,641
15,0.2903761863708496,641,189,641
15,0.28727126121520996,641,194,641
15,0.2838480472564697,641,192,641
15,0.28229594230651855,641,193,641
15,0.283358097076416,641,190,641
15,0.28111815452575684,641,190,641
15,0.28801989555358887,641,193,641
15,0.28261804580688477,641,194,641
15,0.28298115730285645,641,190,641
15,0.2844421863555908,641,192,641
15,0.28526997566223145,641,191,641
15,0.29849815368652344,641,189,641
15,0.2883739471435547,641,191,641
15,0.28717899322509766,641,192,641
15,0.2854897975921631,641,190,641
15,0.28269314765930176,641,192,641
15,0.28366899490356445,641,194,641
15,0.2926828861236572,641,194,641
15,0.28302884101867676,641,189,641
15,0.28441810607910156,641,192,641
15,0.28365015983581543,641,193,641
15,0.340116024017334,641,190,641
15,0.2822849750518799,641,189,641
15,0.2891499996185303,641,192,641
15,0.28195714950561523,641,194,641
15,0.28081178665161133,641,190,641
15,0.2806079387664795,641,189,641
15,0.2808680534362793,641,192,641
15,0.28751111030578613,641,191,641
15,0.3142662048339844,641,189,641
15,0.2942359447479248,641,190,641
15,0.29009413719177246,641,189,641
15,0.28708505630493164,641,191,641
15,0.28138017654418945,641,189,641
15,0.2874481678009033,641,192,641
15,0.3075098991394043,641,192,641
15,0.29659509658813477,641,191,641
15,0.30393505096435547,641,193,641
15,0.3049449920654297,641,191,641
15,0.3158700466156006,641,192,641
15,0.30174899101257324,641,190,641
15,0.31163907051086426,641,191,641
15,0.302030086517334,641,189,641
15,0.3339569568634033,641,192,641
15,0.3035118579864502,641,190,641
15,0.29796886444091797,641,191,641
15,0.3017270565032959,641,193,641
15,0.2936367988586426,641,189,641
15,0.29569101333618164,641,191,641
15,0.3041059970855713,641,193,641
15,0.2931981086730957,641,189,641
15,0.2899641990661621,641,191,641
15,0.2996048927307129,641,197,641
15,0.29823923110961914,641,192,641
15,0.2931849956512451,641,190,641
15,0.2920420169830322,641,191,641
15,0.2907130718231201,641,194,641
15,0.29230213165283203,641,195,641
15,0.2987856864929199,641,191,641
15,0.29267311096191406,641,190,641
15,0.29622697830200195,641,191,641
15,0.29485273361206055,641,197,641
15,0.29181790351867676,641,191,641
15,0.2916388511657715,641,191,641
15,0.3013937473297119,641,192,641
15,0.2923409938812256,641,190,641
15,0.2940049171447754,641,191,641
15,0.2960677146911621,641,193,641
15,0.29298830032348633,641,190,641
15,0.29105281829833984,641,194,641
15,0.3055250644683838,641,191,641
15,0.291912317276001,641,191,641
15,0.29376912117004395,641,191,641
15,0.29381895065307617,641,190,641
15,0.29244112968444824,641,191,641
15,0.292971134185791,641,191,641
15,0.2998161315917969,641,190,641
15,0.29132962226867676,641,192,641
15,0.2902040481567383,641,192,641
15,0.2905008792877197,641,194,641
15,0.2926321029663086,641,191,641
15,0.3012816905975342,641,192,641
15,0.2904198169708252,641,190,641
15,0.29085612297058105,641,193,641
15,0.29258298873901367,641,189,641
