number moves made,solving time,total seen states,max queue size,unique seen states
27,163.9829671382904,105473,22028,105473
27,183.82991695404053,105473,22028,105473
27,180.74558520317078,105473,22028,105473
27,179.50633025169373,105473,22028,105473
27,181.80796098709106,105473,22028,105473
27,185.00102496147156,105473,22028,105473
27,183.05905294418335,105473,22028,105473
27,184.80985498428345,105473,22028,105473
27,183.8722267150879,105473,22028,105473
27,182.72009587287903,105473,22028,105473
27,183.12110114097595,105473,22028,105473
27,182.958509683609,105473,22028,105473
27,183.6660439968109,105473,22028,105473
27,185.50544214248657,105473,22028,105473
27,187.75247383117676,105473,22028,105473
27,188.27924513816833,105473,22028,105473
27,187.8251428604126,105473,22028,105473
27,186.3189091682434,105473,22028,105473
27,188.73808026313782,105473,22028,105473
27,163.12878513336182,105473,22028,105473
