number moves made,solving time,total seen states,max queue size,unique seen states
33,1.830538034439087,3765,264,3765
33,1.8279199600219727,3765,268,3765
33,1.7677209377288818,3765,270,3765
33,1.7558989524841309,3765,272,3765
33,1.752790927886963,3765,274,3765
33,1.7663218975067139,3765,265,3765
33,1.7526662349700928,3765,272,3765
33,1.7564988136291504,3765,265,3765
33,1.7829620838165283,3765,263,3765
33,1.8198981285095215,3765,272,3765
33,1.8252921104431152,3765,270,3765
33,1.858227252960205,3765,276,3765
33,1.85831880569458,3765,275,3765
33,1.872546911239624,3765,272,3765
33,1.8888330459594727,3765,269,3765
33,1.9662458896636963,3765,267,3765
33,2.0782229900360107,3765,270,3765
33,1.8114380836486816,3765,271,3765
33,1.85776686668396,3765,273,3765
33,1.8428831100463867,3765,273,3765
33,1.8822200298309326,3765,268,3765
33,1.8197808265686035,3765,269,3765
33,1.9255149364471436,3765,270,3765
33,1.8715159893035889,3765,271,3765
33,1.83878493309021,3765,268,3765
33,1.853806972503662,3765,262,3765
33,1.8997700214385986,3765,268,3765
33,1.9453108310699463,3765,270,3765
33,1.8615970611572266,3765,270,3765
33,1.8617138862609863,3765,267,3765
33,1.8380663394927979,3765,271,3765
33,1.932452917098999,3765,269,3765
33,1.8264260292053223,3765,270,3765
33,1.9329628944396973,3765,270,3765
33,1.909264087677002,3765,270,3765
33,2.0433619022369385,3765,269,3765
33,1.9869282245635986,3765,275,3765
33,2.157254219055176,3765,263,3765
33,2.0108649730682373,3765,274,3765
33,2.038783073425293,3765,267,3765
33,2.0391910076141357,3765,275,3765
33,2.2168869972229004,3765,267,3765
33,2.0982799530029297,3765,271,3765
33,2.198986053466797,3765,273,3765
33,2.283993721008301,3765,268,3765
33,2.277078151702881,3765,265,3765
33,2.167888879776001,3765,268,3765
33,2.26625394821167,3765,266,3765
33,2.2291011810302734,3765,269,3765
33,2.2052829265594482,3765,268,3765
33,2.1400530338287354,3765,271,3765
33,2.136977195739746,3765,271,3765
33,2.139186143875122,3765,271,3765
33,2.1580758094787598,3765,266,3765
33,2.1712348461151123,3765,272,3765
33,2.299166202545166,3765,265,3765
33,2.1788012981414795,3765,268,3765
33,2.3040120601654053,3765,270,3765
33,2.3127617835998535,3765,274,3765
33,2.1751649379730225,3765,272,3765
33,2.2968811988830566,3765,271,3765
33,2.3875668048858643,3765,269,3765
33,2.4122440814971924,3765,266,3765
33,2.6418612003326416,3765,275,3765
33,2.2016701698303223,3765,272,3765
33,2.2056832313537598,3765,266,3765
33,2.2155442237854004,3765,269,3765
33,2.2109220027923584,3765,270,3765
33,2.265704870223999,3765,270,3765
33,2.339669942855835,3765,264,3765
33,2.4322919845581055,3765,271,3765
33,2.4525678157806396,3765,273,3765
33,2.275623083114624,3765,270,3765
33,2.3435909748077393,3765,267,3765
33,2.2903528213500977,3765,266,3765
33,2.3571531772613525,3765,275,3765
33,2.252849817276001,3765,269,3765
33,2.251986265182495,3765,268,3765
33,2.2365667819976807,3765,271,3765
33,2.263695240020752,3765,270,3765
33,2.3199379444122314,3765,271,3765
