number moves made,solving time,total seen states,max queue size,unique seen states
276,0.09644579887390137,276,NaN,NaN
278,0.054125070571899414,278,NaN,NaN
391,0.07387804985046387,391,NaN,NaN
812,0.15979814529418945,812,NaN,NaN
297,0.054052114486694336,297,NaN,NaN
504,0.09715104103088379,504,NaN,NaN
1068,0.20777010917663574,1068,NaN,NaN
758,0.1445472240447998,758,NaN,NaN
435,0.07992792129516602,435,NaN,NaN
532,0.09813523292541504,532,NaN,NaN
328,0.0621488094329834,328,NaN,NaN
357,0.0741267204284668,357,NaN,NaN
452,0.09261798858642578,452,NaN,NaN
543,0.11212420463562012,543,NaN,NaN
457,0.08811187744140625,457,NaN,NaN
172,0.03778791427612305,172,NaN,NaN
377,0.0723111629486084,377,NaN,NaN
205,0.04217696189880371,205,NaN,NaN
396,0.0773460865020752,396,NaN,NaN
564,0.1090700626373291,564,NaN,NaN
376,0.07450079917907715,376,NaN,NaN
850,0.16581201553344727,850,NaN,NaN
500,0.09369993209838867,500,NaN,NaN
2514,0.4943850040435791,2514,NaN,NaN
1672,0.3192939758300781,1672,NaN,NaN
715,0.14008235931396484,715,NaN,NaN
148,0.027383089065551758,148,NaN,NaN
556,0.10428905487060547,556,NaN,NaN
1447,0.2815277576446533,1447,NaN,NaN
112,0.02218317985534668,112,NaN,NaN
209,0.039292097091674805,209,NaN,NaN
585,0.11913800239562988,585,NaN,NaN
1206,0.23492884635925293,1206,NaN,NaN
507,0.1015770435333252,507,NaN,NaN
265,0.053449153900146484,265,NaN,NaN
1155,0.2250680923461914,1155,NaN,NaN
785,0.1546618938446045,785,NaN,NaN
165,0.03199625015258789,165,NaN,NaN
804,0.1666278839111328,804,NaN,NaN
490,0.09524893760681152,490,NaN,NaN
178,0.03626585006713867,178,NaN,NaN
1797,0.37354016304016113,1797,NaN,NaN
1761,0.34424710273742676,1761,NaN,NaN
342,0.07161808013916016,342,NaN,NaN
486,0.09338498115539551,486,NaN,NaN
1146,0.2210400104522705,1146,NaN,NaN
624,0.12066888809204102,624,NaN,NaN
545,0.10954689979553223,545,NaN,NaN
527,0.10074305534362793,527,NaN,NaN
1121,0.21473312377929688,1121,NaN,NaN
1067,0.20859074592590332,1067,NaN,NaN
143,0.028721094131469727,143,NaN,NaN
348,0.06926321983337402,348,NaN,NaN
590,0.11535310745239258,590,NaN,NaN
120,0.02431797981262207,120,NaN,NaN
