number moves made,solving time,total seen states,max queue size,unique seen states
33,4.274148225784302,4348,325,4348
33,3.998246908187866,4348,325,4348
33,4.038575172424316,4348,325,4348
33,4.183221101760864,4348,325,4348
33,4.50971794128418,4348,325,4348
33,4.74037504196167,4348,325,4348
33,4.690063238143921,4348,325,4348
33,4.617292165756226,4348,325,4348
33,5.211528062820435,4348,325,4348
33,4.856795072555542,4348,325,4348
33,5.81921124458313,4348,325,4348
33,5.961244106292725,4348,325,4348
33,5.882784843444824,4348,325,4348
33,6.638526916503906,4348,325,4348
33,6.079820871353149,4348,325,4348
33,6.213771104812622,4348,325,4348
33,6.3377909660339355,4348,325,4348
33,6.079922199249268,4348,325,4348
33,6.981027126312256,4348,325,4348
33,7.16424822807312,4348,325,4348
33,6.9168360233306885,4348,325,4348
33,7.15231990814209,4348,325,4348
33,6.904946804046631,4348,325,4348
33,6.957305908203125,4348,325,4348
33,7.195457220077515,4348,325,4348
33,6.888360977172852,4348,325,4348
33,7.87562894821167,4348,325,4348
33,7.552284002304077,4348,325,4348
33,8.15982723236084,4348,325,4348
33,7.924639940261841,4348,325,4348
33,9.282076120376587,4348,325,4348
33,9.861658811569214,4348,325,4348
33,8.837388753890991,4348,325,4348
33,9.099494934082031,4348,325,4348
33,9.764173030853271,4348,325,4348
33,8.556258201599121,4348,325,4348
33,8.710132837295532,4348,325,4348
33,8.946924924850464,4348,325,4348
33,8.386494874954224,4348,325,4348
33,8.865091800689697,4348,325,4348
33,8.621229887008667,4348,325,4348
33,9.197392702102661,4348,325,4348
33,9.746844053268433,4348,325,4348
33,10.43213701248169,4348,325,4348
33,9.555569887161255,4348,325,4348
33,9.261672973632812,4348,325,4348
33,8.774441003799438,4348,325,4348
33,8.154848098754883,4348,325,4348
33,8.233607769012451,4348,325,4348
33,8.775475025177002,4348,325,4348
33,9.937448978424072,4348,325,4348
33,8.893632888793945,4348,325,4348
33,8.476454734802246,4348,325,4348
33,10.522209882736206,4348,325,4348
33,8.462510824203491,4348,325,4348
33,9.241583108901978,4348,325,4348
33,8.427404165267944,4348,325,4348
33,8.782563209533691,4348,325,4348
33,8.644082069396973,4348,325,4348
33,8.841366052627563,4348,325,4348
33,8.541168212890625,4348,325,4348
33,9.722832918167114,4348,325,4348
33,8.389585971832275,4348,325,4348
33,8.110473394393921,4348,325,4348
33,10.367998123168945,4348,325,4348
33,8.707566976547241,4348,325,4348
33,9.115100860595703,4348,325,4348
33,8.682368040084839,4348,325,4348
33,8.87418818473816,4348,325,4348
33,7.863723993301392,4348,325,4348
33,9.424750089645386,4348,325,4348
33,9.169471025466919,4348,325,4348
33,8.308037996292114,4348,325,4348
33,9.16849422454834,4348,325,4348
33,9.879465103149414,4348,325,4348
33,8.816519021987915,4348,325,4348
33,9.141220092773438,4348,325,4348
33,8.9750657081604,4348,325,4348
33,8.92739486694336,4348,325,4348
33,9.106307029724121,4348,325,4348
33,9.65953779220581,4348,325,4348
33,8.775428056716919,4348,325,4348
33,8.934094905853271,4348,325,4348
33,9.827489137649536,4348,325,4348
33,9.606688976287842,4348,325,4348
33,9.45272707939148,4348,325,4348
33,9.747754096984863,4348,325,4348
33,10.275638818740845,4348,325,4348
33,9.134421825408936,4348,325,4348
33,9.462680101394653,4348,325,4348
33,9.058375835418701,4348,325,4348
33,8.922881841659546,4348,325,4348
33,8.772610902786255,4348,325,4348
33,9.718148946762085,4348,325,4348
33,8.848495721817017,4348,325,4348
33,8.801721096038818,4348,325,4348
33,9.237132787704468,4348,325,4348
33,9.036291122436523,4348,325,4348
33,9.477638244628906,4348,325,4348
33,8.74490475654602,4348,325,4348
33,9.48432993888855,4348,325,4348
33,9.006333112716675,4348,325,4348
33,9.151766061782837,4348,325,4348
33,9.439146041870117,4348,325,4348
33,9.45910382270813,4348,325,4348
33,9.429131746292114,4348,325,4348
33,9.66152572631836,4348,325,4348
33,9.728165864944458,4348,325,4348
33,10.59303593635559,4348,325,4348
33,9.246310234069824,4348,325,4348
33,9.326262950897217,4348,325,4348
33,9.418841123580933,4348,325,4348
33,9.59129285812378,4348,325,4348
33,10.698653221130371,4348,325,4348
33,9.254185914993286,4348,325,4348
33,10.476792097091675,4348,325,4348
33,9.444669961929321,4348,325,4348
33,9.055831909179688,4348,325,4348
33,10.322528839111328,4348,325,4348
33,8.980022192001343,4348,325,4348
33,10.082436323165894,4348,325,4348
33,9.778318166732788,4348,325,4348
33,10.157043933868408,4348,325,4348
33,8.997221946716309,4348,325,4348
33,9.07438325881958,4348,325,4348
33,9.406493902206421,4348,325,4348
33,9.906106948852539,4348,325,4348
33,10.45320200920105,4348,325,4348
33,9.426379203796387,4348,325,4348
33,9.387810230255127,4348,325,4348
33,8.987904071807861,4348,325,4348
33,10.309063911437988,4348,325,4348
33,9.270375967025757,4348,325,4348
33,9.338824987411499,4348,325,4348
33,10.082247972488403,4348,325,4348
33,9.216592073440552,4348,325,4348
33,8.989310026168823,4348,325,4348
33,9.33019495010376,4348,325,4348
33,9.412873029708862,4348,325,4348
33,9.251110792160034,4348,325,4348
33,9.709449052810669,4348,325,4348
33,9.047666072845459,4348,325,4348
33,9.318092107772827,4348,325,4348
33,9.661629915237427,4348,325,4348
33,10.904694080352783,4348,325,4348
33,10.775519132614136,4348,325,4348
33,9.975087881088257,4348,325,4348
33,10.310765981674194,4348,325,4348
33,10.02606725692749,4348,325,4348
33,9.596013069152832,4348,325,4348
33,12.83360481262207,4348,325,4348
33,9.771696090698242,4348,325,4348
33,9.657925844192505,4348,325,4348
33,9.380147933959961,4348,325,4348
33,9.450698614120483,4348,325,4348
33,10.30154824256897,4348,325,4348
33,9.277799844741821,4348,325,4348
33,8.429801940917969,4348,325,4348
33,8.603851079940796,4348,325,4348
33,8.3660249710083,4348,325,4348
33,8.59921908378601,4348,325,4348
33,8.423126935958862,4348,325,4348
33,8.280034065246582,4348,325,4348
33,8.290181159973145,4348,325,4348
33,9.008717775344849,4348,325,4348
33,8.970752000808716,4348,325,4348
33,10.592517137527466,4348,325,4348
33,14.226237058639526,4348,325,4348
33,8.951515913009644,4348,325,4348
33,9.955156803131104,4348,325,4348
33,11.061700820922852,4348,325,4348
33,8.569236993789673,4348,325,4348
33,9.812548160552979,4348,325,4348
33,8.198997974395752,4348,325,4348
33,8.65064287185669,4348,325,4348
33,8.938682079315186,4348,325,4348
33,9.784087896347046,4348,325,4348
33,8.861540079116821,4348,325,4348
33,10.64458417892456,4348,325,4348
33,13.30294394493103,4348,325,4348
33,10.80237102508545,4348,325,4348
33,9.610753059387207,4348,325,4348
33,8.995362043380737,4348,325,4348
33,9.041197061538696,4348,325,4348
33,8.73518419265747,4348,325,4348
33,8.405148029327393,4348,325,4348
33,9.01309061050415,4348,325,4348
33,8.423602819442749,4348,325,4348
33,9.183079242706299,4348,325,4348
33,9.018226385116577,4348,325,4348
33,8.726607084274292,4348,325,4348
33,11.819831132888794,4348,325,4348
33,9.882085084915161,4348,325,4348
33,10.773476123809814,4348,325,4348
33,13.108214855194092,4348,325,4348
33,11.787044048309326,4348,325,4348
33,11.097573280334473,4348,325,4348
33,10.122896194458008,4348,325,4348
33,11.994697093963623,4348,325,4348
33,10.294848918914795,4348,325,4348
33,9.613912105560303,4348,325,4348
33,10.240354061126709,4348,325,4348
33,9.091655015945435,4348,325,4348
33,10.609944105148315,4348,325,4348
33,10.100006103515625,4348,325,4348
33,10.086604118347168,4348,325,4348
33,9.926962852478027,4348,325,4348
33,8.925687074661255,4348,325,4348
33,9.242299795150757,4348,325,4348
33,10.077762842178345,4348,325,4348
33,9.658258199691772,4348,325,4348
33,10.809872150421143,4348,325,4348
33,8.784356832504272,4348,325,4348
33,8.984904050827026,4348,325,4348
33,8.764496088027954,4348,325,4348
33,12.815849781036377,4348,325,4348
33,11.103188037872314,4348,325,4348
33,11.44351577758789,4348,325,4348
33,10.640902042388916,4348,325,4348
33,9.904246091842651,4348,325,4348
33,9.110509157180786,4348,325,4348
33,8.92941689491272,4348,325,4348
33,13.251747131347656,4348,325,4348
33,10.850122928619385,4348,325,4348
33,9.568561792373657,4348,325,4348
33,9.844955921173096,4348,325,4348
33,10.333400964736938,4348,325,4348
33,9.396306276321411,4348,325,4348
33,10.681466102600098,4348,325,4348
33,19.446367979049683,4348,325,4348
33,15.799396991729736,4348,325,4348
33,14.914341926574707,4348,325,4348
33,11.888632774353027,4348,325,4348
33,9.614910364151001,4348,325,4348
33,8.917018175125122,4348,325,4348
33,8.80974268913269,4348,325,4348
33,10.277341842651367,4348,325,4348
33,10.072713851928711,4348,325,4348
33,9.903344869613647,4348,325,4348
33,10.170318126678467,4348,325,4348
33,8.951406955718994,4348,325,4348
33,8.972810983657837,4348,325,4348
33,11.25156021118164,4348,325,4348
33,11.098768949508667,4348,325,4348
33,11.830493211746216,4348,325,4348
33,9.834534883499146,4348,325,4348
33,9.95290207862854,4348,325,4348
33,9.051375150680542,4348,325,4348
33,8.981107950210571,4348,325,4348
33,9.220529079437256,4348,325,4348
33,9.578213214874268,4348,325,4348
33,11.446918964385986,4348,325,4348
33,9.03429913520813,4348,325,4348
33,10.426449298858643,4348,325,4348
33,9.603473901748657,4348,325,4348
33,9.096754789352417,4348,325,4348
33,8.636784791946411,4348,325,4348
33,8.678403854370117,4348,325,4348
33,8.578444719314575,4348,325,4348
33,7.857254981994629,4348,325,4348
33,8.16309404373169,4348,325,4348
33,7.748922109603882,4348,325,4348
33,7.7978599071502686,4348,325,4348
33,7.777666091918945,4348,325,4348
33,8.524245023727417,4348,325,4348
33,7.987046241760254,4348,325,4348
33,7.911390066146851,4348,325,4348
33,7.830050706863403,4348,325,4348
33,7.8498921394348145,4348,325,4348
33,7.982595920562744,4348,325,4348
33,7.904129981994629,4348,325,4348
33,9.208887100219727,4348,325,4348
33,8.82470703125,4348,325,4348
33,7.248064041137695,4348,325,4348
33,6.625515937805176,4348,325,4348
33,6.721604108810425,4348,325,4348
33,6.064874172210693,4348,325,4348
33,6.459954023361206,4348,325,4348
33,6.3989129066467285,4348,325,4348
33,7.158132076263428,4348,325,4348
33,7.191323280334473,4348,325,4348
33,6.215039014816284,4348,325,4348
33,6.393126964569092,4348,325,4348
33,7.572103261947632,4348,325,4348
33,7.297714948654175,4348,325,4348
33,7.152456045150757,4348,325,4348
33,7.403707981109619,4348,325,4348
33,7.280940055847168,4348,325,4348
33,7.062049150466919,4348,325,4348
33,8.053674221038818,4348,325,4348
33,9.229282140731812,4348,325,4348
33,8.168421983718872,4348,325,4348
33,8.287708044052124,4348,325,4348
33,7.479309797286987,4348,325,4348
33,8.269984006881714,4348,325,4348
33,8.468050956726074,4348,325,4348
33,8.650774955749512,4348,325,4348
33,8.815855026245117,4348,325,4348
33,8.483898878097534,4348,325,4348
33,9.043776988983154,4348,325,4348
33,8.181324005126953,4348,325,4348
33,8.141271114349365,4348,325,4348
33,8.021728992462158,4348,325,4348
33,9.299689054489136,4348,325,4348
33,8.1860671043396,4348,325,4348
33,8.047355890274048,4348,325,4348
33,8.016031980514526,4348,325,4348
33,8.611868858337402,4348,325,4348
33,8.636356115341187,4348,325,4348
33,8.438331842422485,4348,325,4348
33,7.812027931213379,4348,325,4348
33,7.713397026062012,4348,325,4348
33,7.697409152984619,4348,325,4348
33,7.940652132034302,4348,325,4348
33,7.663419008255005,4348,325,4348
33,7.730387926101685,4348,325,4348
33,7.940081834793091,4348,325,4348
33,9.079144954681396,4348,325,4348
33,8.32050085067749,4348,325,4348
33,8.379569053649902,4348,325,4348
33,8.229207038879395,4348,325,4348
33,8.31470513343811,4348,325,4348
33,8.340034008026123,4348,325,4348
33,7.7436840534210205,4348,325,4348
33,8.6876220703125,4348,325,4348
33,8.176723003387451,4348,325,4348
33,7.721216201782227,4348,325,4348
33,7.773937225341797,4348,325,4348
33,8.1524817943573,4348,325,4348
33,8.07828688621521,4348,325,4348
33,7.891226053237915,4348,325,4348
33,7.803518056869507,4348,325,4348
33,7.690683126449585,4348,325,4348
33,7.810199975967407,4348,325,4348
33,7.708343029022217,4348,325,4348
33,7.680095911026001,4348,325,4348
33,7.756500959396362,4348,325,4348
33,7.6682140827178955,4348,325,4348
33,7.7601892948150635,4348,325,4348
33,8.2688889503479,4348,325,4348
33,8.967514038085938,4348,325,4348
33,8.195616006851196,4348,325,4348
33,7.963580131530762,4348,325,4348
33,7.725604057312012,4348,325,4348
33,7.836398124694824,4348,325,4348
33,7.886937141418457,4348,325,4348
33,8.31467604637146,4348,325,4348
33,9.770219802856445,4348,325,4348
33,7.789602041244507,4348,325,4348
33,7.342833995819092,4348,325,4348
33,8.43305492401123,4348,325,4348
33,8.946985960006714,4348,325,4348
33,7.995514154434204,4348,325,4348
33,7.782048940658569,4348,325,4348
33,7.661705017089844,4348,325,4348
33,8.826693058013916,4348,325,4348
33,7.834001302719116,4348,325,4348
33,7.931740999221802,4348,325,4348
33,7.906125783920288,4348,325,4348
33,8.04634714126587,4348,325,4348
33,7.633998870849609,4348,325,4348
33,8.06466794013977,4348,325,4348
33,9.388290166854858,4348,325,4348
33,8.36216688156128,4348,325,4348
33,8.906052112579346,4348,325,4348
33,8.308175802230835,4348,325,4348
33,8.601989030838013,4348,325,4348
33,8.04434609413147,4348,325,4348
33,7.973020076751709,4348,325,4348
33,8.206643104553223,4348,325,4348
33,7.989648103713989,4348,325,4348
33,7.9871532917022705,4348,325,4348
33,8.030213832855225,4348,325,4348
33,8.147311925888062,4348,325,4348
33,7.8551318645477295,4348,325,4348
33,7.91984224319458,4348,325,4348
33,7.565855026245117,4348,325,4348
33,8.207884073257446,4348,325,4348
33,8.242934226989746,4348,325,4348
33,8.284748077392578,4348,325,4348
33,7.70014500617981,4348,325,4348
33,7.801614999771118,4348,325,4348
33,7.579745054244995,4348,325,4348
33,7.998542785644531,4348,325,4348
33,8.370945930480957,4348,325,4348
33,7.601125955581665,4348,325,4348
33,7.649598121643066,4348,325,4348
33,7.693347930908203,4348,325,4348
33,7.725539922714233,4348,325,4348
33,7.450985908508301,4348,325,4348
33,7.71924090385437,4348,325,4348
33,7.950278043746948,4348,325,4348
33,8.909712076187134,4348,325,4348
33,8.180196046829224,4348,325,4348
33,7.929593086242676,4348,325,4348
33,7.839680910110474,4348,325,4348
33,7.697866916656494,4348,325,4348
33,8.04296612739563,4348,325,4348
33,7.916422128677368,4348,325,4348
33,8.741415977478027,4348,325,4348
33,7.779562950134277,4348,325,4348
33,8.264009237289429,4348,325,4348
33,7.930800199508667,4348,325,4348
33,8.213569641113281,4348,325,4348
33,7.04611611366272,4348,325,4348
33,5.726322889328003,4348,325,4348
33,4.826995134353638,4348,325,4348
33,4.268712043762207,4348,325,4348
33,4.19529128074646,4348,325,4348
33,4.41107702255249,4348,325,4348
33,4.841120958328247,4348,325,4348
33,4.426670789718628,4348,325,4348
33,4.872416019439697,4348,325,4348
33,6.1202170848846436,4348,325,4348
