car,move
F,-4
E,-1
B,3
A,-2
X,-3
B,-2
G,-3
D,-1
E,4
B,2
X,1
F,4
A,-1
X,-1
B,-3
D,-3
B,1
E,-3
G,1
H,-3
C,3
A,4
B,-1
E,2
G,-1
D,3
H,2
B,3
X,1
F,-4
X,-1
B,-3
D,-3
E,-3
H,-3
B,3
G,3
X,4
