car,move
I,-1
V,1
J,1
H,1
K,1
M,-1
P,1
Q,1
U,1
W,-1
I,1
P,-1
Q,-1
U,-1
V,-2
W,1
X,1
G,2
G,-2
U,2
X,-1
G,1
C,-1
H,1
N,-2
O,-1
K,1
W,-1
I,-1
M,1
N,1
O,-1
J,1
L,-2
U,-2
W,1
C,1
L,2
M,-1
Q,1
W,-1
X,1
I,1
H,1
L,-2
Q,-1
V,-1
W,1
G,2
G,-2
H,-1
L,1
J,-1
S,1
T,-1
G,2
I,-1
J,1
T,1
U,2
K,3
C,-1
I,1
H,1
J,-1
K,-2
N,-1
U,-2
G,-2
J,-1
K,-1
O,1
T,-1
W,-2
Y,-1
X,2
M,2
M,-2
O,-1
T,1
U,1
K,2
K,1
P,-2
Q,1
U,1
W,1
G,1
G,-1
S,-1
U,-1
V,3
Y,1
X,4
N,1
