car,move
K,1
I,-2
G,1
W,-1
T,-1
H,-1
I,2
J,1
U,1
C,-1
U,-1
M,1
Y,-1
H,4
U,1
N,-2
V,1
M,-2
Y,1
V,-2
U,-1
V,2
J,-1
X,3
V,-2
G,1
O,-2
W,1
U,2
G,-1
W,-2
U,-2
P,-2
X,-2
W,2
P,2
X,2
G,2
P,-2
U,2
P,2
M,1
G,-2
U,-2
K,1
M,-1
X,-3
V,2
X,3
V,-2
O,1
V,2
U,1
W,-2
T,-1
M,2
K,-1
V,-2
U,-1
K,1
L,-1
V,-1
S,1
Y,-1
U,2
Y,1
M,-2
K,3
O,1
X,3
K,-1
J,1
M,2
Q,-3
J,-1
X,-3
R,-1
M,-2
O,-3
U,-1
Y,-1
O,3
M,2
Q,2
R,1
T,2
K,1
S,-1
X,3
Y,1
J,1
X,-1
Q,-2
W,2
M,-2
T,-1
O,-4
G,1
T,1
N,2
P,-2
N,-2
X,1
H,-1
V,3
X,1
