car,move
B,1
A,1
G,-4
H,-1
B,2
X,-3
B,-2
E,-3
H,4
B,2
X,1
G,4
A,-1
X,-1
B,-3
F,-4
B,3
E,3
X,3
B,-3
F,1
G,-3
F,-1
B,3
A,1
G,-1
X,-3
B,-2
E,-2
H,-4
B,2
D,3
E,2
X,4
