car,move
Q,-4
B,2
R,-3
AB,1
R,3
AP,-1
AQ,-3
E,-2
AP,1
F,-2
B,-2
L,-1
F,2
X,-1
F,-2
O,-1
R,-1
AA,1
AD,-1
Q,3
R,1
C,3
L,1
AQ,3
I,-1
R,-1
A,-1
X,1
AE,-1
U,-1
J,-1
L,-1
AA,-1
R,1
AQ,-3
AG,1
H,-1
AB,-1
AG,-1
AP,-1
L,1
U,1
AE,1
H,3
AF,-1
A,1
AD,1
X,-1
C,-3
E,-1
AF,1
AO,-3
P,-2
AR,3
AC,1
E,1
AA,1
AQ,-1
Q,-3
O,1
AP,1
X,1
AQ,5
AA,-1
AK,3
Q,4
F,4
T,2
A,2
AC,2
AB,1
AJ,1
AA,1
E,-1
B,-1
AJ,-1
B,1
E,1
L,-1
A,-2
G,-3
R,-1
A,1
N,-3
AG,1
Q,-4
O,-1
X,7
