car,move
O,1
AH,1
AL,-1
AE,-1
AG,1
H,-1
AA,-1
L,1
AL,1
P,2
AA,-1
G,-1
H,-1
K,1
AJ,-1
AL,-1
AG,-1
AA,2
AM,-1
H,3
K,-1
AQ,-1
P,-2
AE,1
AP,-1
L,-1
G,1
P,2
D,1
AO,2
AA,-2
L,1
AM,1
AO,-2
H,-1
AQ,1
AA,2
D,-1
AO,1
AH,-1
D,1
H,1
AA,-2
AH,2
AE,-1
AI,-3
L,-1
D,-1
AG,1
AI,3
AB,-1
AI,-3
AG,-1
AE,1
P,-1
G,-1
AQ,-1
O,-1
N,-1
U,-1
AA,2
P,1
J,1
U,1
AD,1
AQ,1
P,-2
O,1
H,-2
AD,-1
AE,-1
AA,-1
AO,-1
H,2
AA,1
AQ,-1
AI,3
O,-1
AB,1
M,1
AF,-1
H,-1
AQ,1
AF,1
AI,-3
H,1
J,2
P,1
AF,-1
AE,2
W,3
L,1
AP,1
AJ,1
V,1
S,1
V,-1
L,-1
AB,-1
Y,-1
AB,1
AJ,-1
AB,-1
J,-3
P,1
AJ,1
M,-1
H,-1
AC,-2
Y,1
P,-2
AA,-1
H,1
AA,1
AQ,-2
AJ,-1
Y,-1
AK,-1
N,1
AA,-1
AK,1
W,-1
AK,-1
Y,1
W,1
AE,-2
AC,-1
P,2
Y,-1
AJ,1
N,-1
AG,-2
U,-1
AK,1
L,1
AB,2
AA,-1
AS,-3
Q,1
K,1
H,-1
Q,-1
AG,1
U,5
AG,-1
AQ,2
Y,1
H,1
AQ,-4
AB,-2
AQ,4
H,-1
P,-1
AQ,-4
S,-1
AC,1
AJ,1
V,1
AJ,-2
V,-1
K,-1
V,1
AG,3
U,-1
AK,-4
AN,-1
L,-1
S,1
AJ,3
AG,-1
V,-1
H,1
AO,-1
AJ,-3
V,1
L,1
AO,1
N,3
Q,2
AM,1
AK,4
AG,1
H,-1
AK,-4
L,-1
U,1
H,1
Q,-2
AC,-1
U,-1
N,-3
AB,1
U,1
AK,4
N,3
U,-1
W,1
H,-1
AK,-5
AJ,3
AB,-1
AJ,-3
V,-1
AI,2
AP,-1
S,-1
AG,-1
AB,1
G,3
F,1
AQ,4
H,1
AR,-5
H,-1
U,1
E,1
AP,1
E,-1
AE,1
F,-1
AD,1
AI,-2
AR,5
H,1
AP,-1
H,-1
Y,-1
H,1
S,1
AK,5
AO,1
Y,1
H,-1
P,1
F,1
W,-1
AD,-1
AM,1
AG,1
E,1
J,1
AG,-1
E,-1
S,-1
AB,-1
AK,-3
W,1
P,-1
AQ,-4
W,-1
H,1
J,1
AR,-3
AC,1
Y,-1
E,1
AG,1
W,1
AE,-1
S,1
AE,1
Q,-1
AI,2
J,-2
AG,-1
AD,1
AK,-2
H,-1
AK,2
AR,3
AQ,4
AK,-2
AC,-1
H,1
Y,1
V,1
AM,-1
AI,-2
W,-1
AO,-1
AM,-1
AB,1
AK,5
AD,-1
AE,-1
AP,1
L,1
AJ,1
AE,1
AN,1
V,-1
AD,1
K,1
P,1
AK,-3
AA,-3
AD,-1
V,1
AD,1
AQ,-4
AB,-1
S,-1
AA,3
AR,-3
AJ,-1
AA,-3
AR,3
AF,1
AK,3
S,1
AQ,4
O,1
Q,4
AK,-3
D,1
P,-2
E,-1
Q,-3
AJ,1
AQ,-5
K,-1
L,-1
J,2
AR,-3
J,-2
AJ,2
AQ,2
A,-6
J,2
F,-1
AA,-1
AQ,-2
J,-2
S,-1
H,-1
A,3
S,1
AB,1
F,1
AK,-2
F,-1
AB,-1
S,-1
AJ,-3
A,-3
D,-1
AB,1
AR,-2
S,1
F,2
E,2
Q,3
AP,-1
C,4
B,-2
C,-4
R,-2
AG,2
A,2
B,2
R,-1
AR,1
AB,-1
AO,3
X,-2
M,-2
AP,1
A,-1
AG,-2
X,2
H,1
Q,-1
AP,-1
AD,-1
T,-2
AA,1
AP,1
C,2
AP,-1
AR,-1
AD,1
C,-2
AA,-1
X,1
R,1
AD,-1
AG,2
A,1
F,1
AG,-2
R,-1
M,1
AD,1
Q,1
B,-2
C,4
AG,2
X,-2
B,2
X,2
AP,1
E,1
AQ,1
C,-4
B,-2
R,1
AC,1
R,-1
X,-3
AG,-2
R,1
AC,-1
T,2
R,-1
T,-2
X,3
AR,4
C,4
S,1
AJ,2
AK,4
A,-1
S,-1
J,4
AG,1
AC,1
E,-1
AG,-1
R,1
A,-2
I,-1
G,-3
I,1
X,-2
L,1
I,-1
H,2
AQ,-1
F,2
AG,1
E,3
K,1
N,-2
AC,-1
AG,-1
K,-1
S,2
N,1
T,-3
N,-1
L,-1
S,-2
L,1
AQ,2
E,-3
A,1
AQ,-2
J,-1
AG,1
AQ,1
F,-3
S,2
N,1
S,-2
L,-1
AC,1
C,-4
X,2
AQ,-1
L,1
X,-3
H,-3
AG,-1
I,1
N,-1
AK,-1
B,2
M,-1
C,2
H,1
M,2
AJ,-2
B,-2
M,-2
B,2
AJ,2
F,1
C,-2
N,2
G,3
L,-1
AJ,-2
AG,2
C,2
J,-3
AP,-1
X,3
Q,-1
E,1
A,-1
B,-2
AQ,1
AG,-2
L,1
B,2
S,1
AP,1
AG,2
AQ,-1
B,-2
AC,1
B,2
AK,-2
AG,-2
AC,1
AK,1
B,-2
AC,-3
I,-1
AR,-2
AQ,4
M,2
I,1
AD,-1
AJ,1
AB,1
C,1
R,3
A,1
P,2
I,-1
AD,1
AJ,-1
Q,1
AB,-1
C,-3
I,1
