car,move
M,2
S,-6
B,1
A,-1
T,-1
F,-1
G,-3
U,-1
P,1
K,1
D,5
C,-1
H,-2
G,4
E,4
F,1
A,5
B,-1
I,-2
X,-1
N,-5
L,1
Q,-1
R,-1
O,1
J,1
X,7
