car,move
E,1
J,-2
E,2
T,-2
A,2
E,-2
Q,-1
A,-2
U,-1
Q,1
E,2
A,2
T,1
E,-2
J,2
K,-5
A,-1
S,-5
A,1
T,-6
S,5
Q,-1
S,-5
J,-2
E,2
Q,-1
U,-1
E,-2
U,2
T,2
U,-2
A,-1
Q,2
U,2
T,-1
U,-2
A,1
U,2
Q,-2
A,-1
J,2
S,3
K,3
J,-1
L,1
T,1
K,-3
L,-1
J,-1
Q,2
T,-1
A,1
T,-1
Q,-2
J,2
K,3
Q,2
T,7
J,-1
K,-3
J,1
T,-7
Q,-2
L,1
S,-3
J,-2
U,-2
J,2
L,1
M,-3
V,-2
S,2
L,-2
S,-2
U,6
J,-2
V,2
Q,2
E,3
F,-3
Q,-2
G,-3
B,2
E,-3
Q,2
U,-1
E,3
V,-6
U,1
G,2
R,-1
B,-2
F,1
U,-6
T,2
A,-1
N,-2
U,6
V,-1
U,-6
R,1
Q,1
V,1
A,1
T,-2
N,2
Q,-3
L,2
G,-2
E,-1
L,-2
Q,3
V,4
T,1
F,2
A,-1
N,-1
Q,-3
L,2
V,-2
F,-2
V,-3
O,-4
N,-1
R,-2
O,4
R,2
L,-2
U,6
Q,3
U,-6
F,1
O,-3
L,2
O,3
L,-2
O,-3
Q,-3
R,-3
N,4
U,3
X,-2
B,2
H,5
C,5
I,-1
P,-2
F,-1
X,2
D,-2
N,-2
P,2
R,1
U,-3
L,2
D,2
B,-2
D,-1
L,-2
I,1
B,2
V,4
L,2
V,-4
L,-2
R,-1
I,-1
F,1
B,-2
U,4
I,-2
R,1
D,1
I,3
F,4
B,2
E,-2
L,2
E,2
D,-2
F,-1
M,1
F,1
I,-1
V,4
D,-3
P,-1
U,-1
B,-2
N,-2
O,1
E,-1
P,1
I,1
F,-1
E,2
F,1
N,1
V,-4
E,-2
I,-1
V,4
I,1
D,1
I,-1
M,1
P,-1
A,1
E,1
A,-1
V,-2
U,1
E,-1
A,1
V,2
B,1
F,-1
E,1
W,-1
V,-2
B,-1
P,-3
X,1
