car,move
F,1
E,1
G,-1
I,2
H,1
A,3
X,-1
B,1
C,-1
G,-2
F,1
D,3
F,-1
G,1
C,1
B,-1
X,3
A,-3
E,-1
H,-1
B,4
E,1
A,1
C,-3
G,-1
F,1
X,-2
D,-4
F,-1
I,-1
G,3
X,3
