car,move
E,1
G,-1
I,-2
K,-1
M,2
A,1
G,1
I,2
K,1
E,-1
K,-1
M,-1
S,-1
T,-1
U,-1
P,1
G,-1
K,2
M,1
B,1
G,1
S,-2
A,-2
F,-1
G,-3
D,4
G,3
E,3
I,-1
D,1
I,1
E,-3
F,1
A,6
B,-1
F,-1
S,-4
G,-1
B,1
D,-1
G,1
E,3
S,1
B,-1
E,-2
F,1
A,-5
S,5
A,4
C,-2
F,-1
G,-2
I,-2
S,-2
X,-1
N,-1
A,-1
D,1
H,-2
G,3
E,2
N,-4
L,1
X,1
A,1
C,1
D,-1
E,-2
J,-1
Q,-3
R,-1
S,2
A,-1
D,1
O,1
J,2
Q,2
X,6
