car,move
F,-2
E,-1
B,3
X,-2
G,-2
A,-2
F,-2
G,-1
X,-1
B,-2
D,-1
E,3
B,2
X,1
F,4
A,-1
E,1
H,-1
X,-1
B,-3
D,-3
B,2
B,1
E,-1
C,2
G,1
A,4
B,-3
C,1
E,-2
G,-1
D,3
H,-2
C,-2
E,3
F,-1
H,-1
B,3
X,1
F,-3
X,-1
B,-3
D,-3
E,-4
B,3
C,2
G,3
A,-3
X,4
